pH,CEC,phosphorus,potassium,calcium,magnesium,lime_index,Treatment
6.2,7.52256,27,118,1079,219,70,T1
6.3,9.01385,27,125,1092,244,69,T1
6.1,9.21474,77,139,970,193,68,T1
6.4,6.98064,32,140,996,197,70,T1
6.1,7.42038,28,97,1111,194,70,T1
6,4.85949,52,83,721,125,70,T1
6.8,7.1,26,115,1040,196,,T1
6.6,6.7,34,129,967,181,70,T1
6.6,9.7,72,168,1076,183,68,T1
6.5,6.7,32,120,999,167,70,T1
6.5,6.4,32,92,958,159,70,T1
6.3,4.4,55,80,642,115,70,T1
6.3,5.3,18,87,718,175,,T1
6.3,5.9,21,100,790,198,,T1
6.3,6.4,59,116,713,156,,T1
6.4,5.4,20,93,746,172,,T1
6.3,6.3,22,81,881,197,,T1
6.3,3.7,41,56,517,116,,T1
6.3,5.3,18,87,718,175,,T1
6.3,5.9,21,100,790,198,,T1
6.3,6.4,59,116,713,156,,T1
6.4,5.4,20,93,746,172,,T1
6.3,6.3,22,81,881,197,,T1
6.3,3.7,41,56,517,116,,T1
6.3,,24,113,906,171,,T1
6.4,,26,141,1087,218,,T1
6.5,,63,169,1139,223,,T1
6.4,,23,132,1197,218,,T1
6.3,,26,102,999,200,,T1
6.3,,46,84,843,164,,T1
6.1,,22,122,756,163,69,T1
6.3,,28,131,833,169,69,T1
6.2,,71,190,899,171,67,T1
6.2,,28,144,805,150,69,T1
6.2,,31,103,900,165,69,T1
6.3,,51,89,684,131,69,T1
5.7,5.2,25,89,569,108,69,T1
5.9,5.3,29,121,745,148,70,T1
5.9,6.9,72,149,832,137,69,T1
5.7,8.2,31,130,848,146,68,T1
6,6.4,23,100,949,173,70,T1
6.1,4.2,46,66,634,103,71,T1
5.8,5.8,27,101,678,115,69,T1
5.8,6.6,28,116,773,145,69,T1
5.7,9.1,76,154,785,136,67,T1
5.8,6.8,30,127,812,149,69,T1
5.9,7.1,26,93,871,162,69,T1
6,4.5,48,84,655,127,70,T1
5.9,5.9,22,95,697,121,69,T1
6,6.9,25,121,824,150,69,T1
5.9,9.4,66,147,849,141,67,T1
5.9,6.6,28,113,798,134,69,T1
6,7.2,27,93,899,155,69,T1
6.1,5.4,42,65,615,116,69,T1
6.2,6.3,31,110,776,113,69,T1
5.9,7.6,31,113,733,153,68,T1
6,10.5,81,205,966,189,67,T1
6,7.1,37,122,823,171,69,T1
6,7.1,34,101,852,171,69,T1
6.3,3.7,74,72,490,124,70,T1
6.1,5.7,28,94,644,120,,T1
6.1,6.9,29,123,800,162,,T1
6,8.5,69,169,878,108,,T1
6.1,6.6,29,115,761,155,,T1
6.1,6.4,32,84,746,154,,T1
6.5,3.9,47,59,554,115,,T1
6,6.1,23,96,,,,T1
6.1,7.1,32,124,,,,T1
6,10.3,83,187,,,,T1
6.2,7.2,29,116,,,,T1
6.2,7.2,36,93,,,,T1
6.5,4.9,56,69,,,,T1
5.9,6.6,27,101,,,,T1
6,7.3,29,120,,,,T1
5.9,9.8,79,148,,,,T1
6.1,7.1,26,124,,,,T1
6.1,7.5,27,87,,,,T1
6.3,5.6,52,72,,,,T1
6.3,6.1,21,92,,,,T1
6,8,26,125,,,,T1
6.2,11.7,67,192,,,,T1
6.3,7.7,24,117,,,,T1
6.3,8.8,24,108,,,,T1
6.5,5.3,53,75,,,,T1
6.3,6.1,30,112,,,,T1
6.4,7.4,33,124,,,,T1
6.2,7.8,76,207,,,,T1
6.5,6.7,36,131,,,,T1
6.3,6.5,35,105,,,,T1
6.6,5,58,75,,,,T1
6,5.5,20.5,105,,,,T1
6.5,6.4,29,128.5,,,,T1
6.6,7.4,80,171.5,,,,T1
6.4,6.6,26.5,133.5,,,,T1
6.4,6.9,24,94.5,,,,T1
6.5,4.8,54.5,68.5,,,,T1
6.5,5.9,25,83.5,,,,T1
6.6,6.3,27.5,105,,,,T1
6.5,6.3,80,135,,,,T1
6.6,6.2,27.5,105,,,,T1
6.6,6.4,29.5,72,,,,T1
6.6,4.2,58,50,,,,T1
6.6,6.2,24,95,,,,T1
6.6,6.4,27.5,126.5,,,,T1
6.3,6.3,71,158,,,,T1
6.6,6.3,28,126.5,,,,T1
6.6,6.2,25,85,,,,T1
6.2,4.2,52.5,60,,,,T1
6.2,5.1,29,95,700,158,,T1
6.3,6.1,30,115,850,191,,T1
6.1,8,80,165,950,200,,T1
6.5,6.5,32,125,900,200,,T1
6.4,6.6,30,85,950,196,,T1
6,4.8,56,75,700,133,,T1
6,5.1,27,94,730,131,,T1
6.3,6.6,32,135,950,179,,T1
6.2,8.5,83,175,1047,189,,T1
6.3,6.4,29,120,950,163,,T1
6.3,6.8,32,115,1000,184,,T1
5.8,5.3,57,68,650,81,,T1
6.1,4.5,27,105,631,133,,T1
6.2,5.4,33,124,737,171,,T1
6.1,7.2,87,162,842,166,,T1
6.3,5.6,30,133,789,157,,T1
6.1,5.9,33,100,842,166,,T1
5.8,3.3,62,73,473,90,,T1
6.2,5.3,23,80,750,157,,T1
6.2,6.5,27,116,900,200,,T1
6.3,6.7,65,147.5,950,185,,T1
6.2,6.3,28.5,131.5,900,171,,T1
6.3,6,23,75,900,162,,T1
5.7,2.8,45,50,450,55,,T1
6.4,5.1,30.5,71,800,116,,T1
6.4,5.8,33.5,92.5,842,160,,T1
6.4,9.8,75,180,1263,222,,T1
6.6,6.8,26.5,97,968.5,203.5,,T1
6.2,6,30.5,84,884,167.5,,T1
5.9,3.3,62,58,520,65,,T1
6.6,5.4,23,89,800,140,,T1
6.6,6.5,33,120,914.5,196,,T1
6.4,7.1,77.5,172.5,990.5,204,,T1
6.9,7,33,120,990.5,204,,T1
6.8,6.4,29.5,62,914.5,196,,T1
6,4.5,52,53.5,685.5,108,,T1
6.5,,32.5,101,727.5,120,,T1
6.5,,39,126.5,727.5,164,,T1
6.4,,97,177,914.5,172,,T1
6.8,,42.5,122,876,164,,T1
6.6,,36.5,80,838,168,,T1
6.1,,77,66.5,654.5,56,,T1
6.8,,34,97,762,152.5,,T1
6.6,,40,118,876,217,,T1
6.6,,100,172.5,842,176,,T1
6.8,,42.5,120,842,184,,T1
6.8,,39,75.5,763.5,148,,T1
6,,77.5,53.5,545.5,84,,T1
6.2,7.73013,36,145,1105,220,70,T2
6,8.71154,31,102,1085,219,69,T2
6.3,8.85051,34,125,1086,228,69,T2
6.2,8.37141,32,126,1008,217,69,T2
6.2,7.48128,27,111,1056,230,70,T2
6.3,6.5391,39,90,950,187,70,T2
6.5,8.2,37,120,1037,182,69,T2
